Student,LPIPS,SSIM
112590012.png,0.0,1.0
112590003.png,0.15866094827651978,0.7891772527923382
112590056.png,0.1958240270614624,0.8203231605032588
112590013.png,0.2069844752550125,0.8247816711377568
112590029.png,0.2512561082839966,0.8042339764281712
112590059.png,0.2929385304450989,0.7688067219021651
112590036.png,0.30560335516929626,0.7654455637740872
112590007.png,0.31135302782058716,0.7313091793718615
112590038.png,0.3116653859615326,0.766796653742111
110590041.png,0.31430402398109436,0.71146435822603
112590017.png,0.3157348334789276,0.726683943438475
112590014.png,0.3332892656326294,0.7395953040726929
112590041.png,0.3405466079711914,0.7312256958968885
112590060.png,0.34875234961509705,0.7559507777359983
112590044.png,0.38108181953430176,0.7301654440451549
112590004.png,0.3947737216949463,0.7390542653122806
112590023.png,0.3995528817176819,0.7584780955296978
112590022.png,0.40706518292427063,0.6686246826253864
109810011.png,0.40957826375961304,0.6855897465015715
112590009.png,0.4196265637874603,0.6603898929563988
111332012.png,0.4222874343395233,0.6637526600712312
112590033.png,0.43016570806503296,0.7233130800219985
110590456.png,0.4305460453033447,0.708927210216968
112590005.png,0.4311898350715637,0.6804228441938922
112590030.png,0.45652681589126587,0.6357327189761789
112590035.png,0.471353679895401,0.682834705046229
112590057.png,0.48149335384368896,0.6168830723865522
112590026.png,0.49233561754226685,0.6829473401292393
112ab0053.png,0.4928002953529358,0.7448359834288087
113378043.png,0.49622830748558044,0.6604027825206569
112590021.png,0.5051435232162476,0.6282250393491619
112590020.png,0.5167667865753174,0.646837259569722
111820017.jpg,0.5327334403991699,0.6603229599360575
110820009.png,0.5346415638923645,0.644348922793162
112590052.png,0.5441948771476746,0.5511914428069749
112590051.png,0.5529996752738953,0.5773448110404505
112590031.png,0.5803056359291077,0.5468058101439851
112590024.png,0.5873962044715881,0.5694733369965048
112590018.png,0.5986086130142212,0.5212704987939388
112590053.png,0.6083969473838806,0.5343402566062283
